Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
19.9010,1,40.8816,60.9073,6.34538,10.1244,11.4493
19.9000,1,40.8804,60.9072,6.34525,10.1241,11.4485
19.8990,1,40.8793,60.9070,6.34511,10.1237,11.4478
19.8980,1,40.8781,60.9069,6.34497,10.1233,11.4470
19.8970,1,40.8769,60.9067,6.34483,10.1230,11.4463
19.8960,1,40.8758,60.9065,6.34469,10.1226,11.4455
19.8950,1,40.8746,60.9064,6.34455,10.1223,11.4447
19.8940,1,40.8734,60.9062,6.34441,10.1219,11.4440
19.8930,1,40.8723,60.9061,6.34427,10.1216,11.4432
19.8920,1,40.8711,60.9059,6.34413,10.1212,11.4425
19.8910,1,40.8699,60.9057,6.34400,10.1208,11.4417
19.8900,1,40.8688,60.9056,6.34386,10.1205,11.4409
19.8890,1,40.8676,60.9054,6.34372,10.1201,11.4402
19.8880,1,40.8664,60.9053,6.34358,10.1198,11.4394
19.8870,1,40.8653,60.9051,6.34344,10.1194,11.4387
19.8860,1,40.8641,60.9049,6.34330,10.1190,11.4379
19.8850,1,40.8629,60.9048,6.34316,10.1187,11.4371
19.8840,1,40.8618,60.9046,6.34302,10.1183,11.4364
19.8830,1,40.8606,60.9045,6.34288,10.1180,11.4356
19.8820,1,40.8594,60.9043,6.34275,10.1176,11.4349
19.8810,1,40.8583,60.9041,6.34261,10.1173,11.4341
19.8800,1,40.8571,60.9040,6.34247,10.1169,11.4333
19.8790,1,40.8559,60.9038,6.34233,10.1165,11.4326
19.8780,1,40.8548,60.9036,6.34219,10.1162,11.4318
19.8770,1,40.8536,60.9035,6.34205,10.1158,11.4311
19.8760,1,40.8524,60.9033,6.34191,10.1155,11.4303
19.8750,1,40.8513,60.9032,6.34177,10.1151,11.4296
19.8740,1,40.8501,60.9030,6.34164,10.1147,11.4288
19.8730,1,40.8489,60.9028,6.34150,10.1144,11.4280
19.8720,1,40.8478,60.9027,6.34136,10.1140,11.4273
19.8710,1,40.8466,60.9025,6.34122,10.1137,11.4265
19.8700,1,40.8454,60.9024,6.34108,10.1133,11.4258
19.8690,1,40.8442,60.9022,6.34094,10.1129,11.4250
19.8680,1,40.8431,60.9020,6.34080,10.1126,11.4242
19.8670,1,40.8419,60.9019,6.34066,10.1122,11.4235
19.8660,1,40.8407,60.9017,6.34052,10.1119,11.4227
19.8650,1,40.8396,60.9015,6.34039,10.1115,11.4220
19.8640,1,40.8384,60.9014,6.34025,10.1112,11.4212
19.8630,1,40.8372,60.9012,6.34011,10.1108,11.4204
19.8620,1,40.8361,60.9010,6.33997,10.1104,11.4197
19.8610,1,40.8349,60.9009,6.33983,10.1101,11.4189
19.8600,1,40.8337,60.9007,6.33969,10.1097,11.4182
19.8590,1,40.8326,60.9006,6.33955,10.1094,11.4174
19.8580,1,40.8314,60.9004,6.33942,10.1090,11.4166
19.8570,1,40.8302,60.9002,6.33928,10.1086,11.4159
19.8560,1,40.8291,60.9001,6.33914,10.1083,11.4151
19.8550,1,40.8279,60.8999,6.33900,10.1079,11.4144
19.8540,1,40.8267,60.8997,6.33886,10.1076,11.4136
19.8530,1,40.8255,60.8996,6.33872,10.1072,11.4128
19.8520,1,40.8244,60.8994,6.33858,10.1068,11.4121
19.8510,1,40.8232,60.8992,6.33844,10.1065,11.4113
19.8500,1,40.8220,60.8991,6.33831,10.1061,11.4106
19.8490,1,40.8209,60.8989,6.33817,10.1058,11.4098
19.8480,1,40.8197,60.8988,6.33803,10.1054,11.4090
19.8470,1,40.8185,60.8986,6.33789,10.1050,11.4083
19.8460,1,40.8174,60.8984,6.33775,10.1047,11.4075
19.8450,1,40.8162,60.8983,6.33761,10.1043,11.4068
19.8440,1,40.8150,60.8981,6.33747,10.1040,11.4060
19.8430,1,40.8138,60.8979,6.33734,10.1036,11.4053
19.8420,1,40.8127,60.8978,6.33720,10.1033,11.4045
19.8410,1,40.8115,60.8976,6.33706,10.1029,11.4037
19.8400,1,40.8103,60.8974,6.33692,10.1025,11.4030
19.8390,1,40.8092,60.8973,6.33678,10.1022,11.4022
19.8380,1,40.8080,60.8971,6.33664,10.1018,11.4015
19.8370,1,40.8068,60.8969,6.33650,10.1015,11.4007
