Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
19.9010,1,40.9120,60.9096,6.16252,9.79540,11.1201
19.9000,1,40.9111,60.9095,6.16141,9.79329,11.1176
19.8990,1,40.9101,60.9093,6.16030,9.79119,11.1151
19.8980,1,40.9091,60.9091,6.15919,9.78909,11.1126
19.8970,1,40.9082,60.9090,6.15808,9.78698,11.1102
19.8960,1,40.9072,60.9088,6.15697,9.78488,11.1077
19.8950,1,40.9062,60.9086,6.15586,9.78278,11.1052
19.8940,1,40.9053,60.9085,6.15475,9.78068,11.1027
19.8930,1,40.9043,60.9083,6.15364,9.77858,11.1003
19.8920,1,40.9033,60.9081,6.15253,9.77648,11.0978
19.8910,1,40.9024,60.9080,6.15142,9.77438,11.0953
19.8900,1,40.9014,60.9078,6.15031,9.77228,11.0928
19.8890,1,40.9005,60.9076,6.14921,9.77018,11.0904
19.8880,1,40.8995,60.9075,6.14810,9.76809,11.0879
19.8870,1,40.8985,60.9073,6.14699,9.76599,11.0854
19.8860,1,40.8976,60.9071,6.14589,9.76390,11.0830
19.8850,1,40.8966,60.9069,6.14478,9.76180,11.0805
19.8840,1,40.8956,60.9068,6.14367,9.75970,11.0780
19.8830,1,40.8947,60.9066,6.14257,9.75761,11.0756
19.8820,1,40.8937,60.9064,6.14146,9.75552,11.0731
19.8810,1,40.8927,60.9063,6.14036,9.75342,11.0706
19.8800,1,40.8918,60.9061,6.13925,9.75133,11.0682
19.8790,1,40.8908,60.9059,6.13815,9.74924,11.0657
19.8780,1,40.8898,60.9058,6.13704,9.74715,11.0633
19.8770,1,40.8889,60.9056,6.13594,9.74506,11.0608
19.8760,1,40.8879,60.9054,6.13484,9.74297,11.0583
19.8750,1,40.8869,60.9052,6.13373,9.74088,11.0559
19.8740,1,40.8860,60.9051,6.13263,9.73879,11.0534
19.8730,1,40.8850,60.9049,6.13153,9.73670,11.0510
19.8720,1,40.8840,60.9047,6.13043,9.73462,11.0485
