Latitude,Longitude,Ru,Rc,Rl
50.0,20.0,0.0,0.0,0.0
50.0,40.0,0.6,0.6,0.6
50.0,60.0,1.9,1.9,1.9
50.0,80.0,1.9,1.8,1.6
50.0,100.0,1.3,1.3,1.3
50.0,120.0,1.2,1.2,1.2
50.0,140.0,0.0,0.0,0.0
50.0,160.0,0.0,0.0,0.0
50.0,180.0,0.0,0.0,0.0
50.0,200.0,0.0,0.0,0.0
50.0,220.0,0.0,0.0,0.0
50.0,240.0,0.6,0.4,0.3
50.0,260.0,1.4,1.4,1.4
50.0,280.0,1.9,1.9,1.9
50.0,300.0,1.2,1.2,1.2
50.0,320.0,1.4,0.9,0.5
50.0,340.0,1.1,1.1,1.1
50.0,360.0,0.0,0.0,0.0
70.0,0.0,2.4,2.4,2.4
70.0,20.0,1.9,1.7,1.6
70.0,40.0,1.8,1.7,1.5
70.0,60.0,1.9,1.9,1.9
70.0,80.0,2.1,2.1,2.1
70.0,100.0,2.3,2.3,2.3
70.0,120.0,2.6,2.6,2.6
70.0,140.0,2.6,2.6,2.6
70.0,160.0,2.4,2.4,2.4
70.0,180.0,1.3,1.1,1.0
70.0,200.0,0.9,0.8,0.5
70.0,220.0,1.1,1.1,1.1
70.0,240.0,2.1,1.7,1.4
70.0,260.0,2.8,2.8,2.8
70.0,280.0,3.0,3.0,3.0
70.0,300.0,2.9,2.9,2.9
70.0,320.0,2.9,2.9,2.9
70.0,340.0,2.7,2.7,2.7
70.0,360.0,2.4,2.4,2.4
90.0,0.0,3.3,3.3,3.3
90.0,20.0,3.3,3.3,3.3
90.0,40.0,3.3,3.3,3.3
90.0,60.0,3.3,3.3,3.3
90.0,80.0,3.3,3.3,3.3
90.0,100.0,3.3,3.3,3.3
90.0,120.0,3.3,3.3,3.3
90.0,140.0,3.3,3.3,3.3
90.0,160.0,3.3,3.3,3.3
90.0,180.0,3.3,3.3,3.3
90.0,200.0,3.3,3.3,3.3
90.0,220.0,3.3,3.3,3.3
90.0,240.0,3.3,3.3,3.3
90.0,260.0,3.3,3.3,3.3
90.0,280.0,3.3,3.3,3.3
90.0,300.0,3.3,3.3,3.3
90.0,320.0,3.3,3.3,3.3
90.0,340.0,3.3,3.3,3.3
90.0,360.0,3.3,3.3,3.3
