Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
19.9010,1,40.9011,60.8989,6.29640,10.0290,11.3588
19.9000,1,40.9000,60.8987,6.29627,10.0287,11.3581
19.8990,1,40.8988,60.8985,6.29613,10.0283,11.3573
19.8980,1,40.8976,60.8984,6.29599,10.0280,11.3566
19.8970,1,40.8964,60.8982,6.29586,10.0276,11.3558
19.8960,1,40.8953,60.8980,6.29572,10.0273,11.3550
19.8950,1,40.8933,60.8979,6.29943,10.0338,11.3612
19.8940,1,40.8921,60.8977,6.29930,10.0335,11.3604
19.8930,1,40.8910,60.8975,6.29916,10.0331,11.3597
19.8920,1,40.8898,60.8974,6.29902,10.0328,11.3589
19.8910,1,40.8886,60.8972,6.29888,10.0324,11.3581
19.8900,1,40.8874,60.8970,6.29875,10.0320,11.3574
19.8890,1,40.8863,60.8968,6.29861,10.0317,11.3566
19.8880,1,40.8851,60.8967,6.29847,10.0313,11.3559
19.8870,1,40.8839,60.8965,6.29834,10.0310,11.3551
19.8860,1,40.8828,60.8963,6.29820,10.0306,11.3544
19.8850,1,40.8816,60.8961,6.29806,10.0303,11.3536
19.8840,1,40.8804,60.8960,6.29792,10.0299,11.3529
19.8830,1,40.8793,60.8958,6.29779,10.0296,11.3521
19.8820,1,40.8781,60.8956,6.29765,10.0292,11.3514
19.8810,1,40.8769,60.8954,6.29751,10.0288,11.3506
19.8800,1,40.8749,60.8953,6.30123,10.0354,11.3567
19.8790,1,40.8738,60.8951,6.30109,10.0351,11.3560
19.8780,1,40.8726,60.8949,6.30095,10.0347,11.3552
19.8770,1,40.8714,60.8948,6.30081,10.0343,11.3545
19.8760,1,40.8703,60.8946,6.30068,10.0340,11.3537
19.8750,1,40.8691,60.8944,6.30054,10.0336,11.3529
19.8740,1,40.8679,60.8942,6.30040,10.0333,11.3522
19.8730,1,40.8668,60.8941,6.30026,10.0329,11.3514
19.8720,1,40.8656,60.8939,6.30013,10.0326,11.3507
19.8710,1,40.8644,60.8937,6.29999,10.0322,11.3499
19.8700,1,40.8632,60.8935,6.29985,10.0318,11.3492
19.8690,1,40.8621,60.8934,6.29972,10.0315,11.3484
19.8680,1,40.8609,60.8932,6.29958,10.0311,11.3477
19.8670,1,40.8597,60.8930,6.29944,10.0308,11.3469
19.8660,1,40.8586,60.8928,6.29930,10.0304,11.3462
19.8650,1,40.8566,60.8927,6.30302,10.0370,11.3523
19.8640,1,40.8554,60.8925,6.30288,10.0366,11.3515
19.8630,1,40.8542,60.8923,6.30274,10.0363,11.3508
19.8620,1,40.8531,60.8922,6.30260,10.0359,11.3500
19.8610,1,40.8519,60.8920,6.30247,10.0356,11.3492
19.8600,1,40.8507,60.8918,6.30233,10.0352,11.3485
19.8590,1,40.8496,60.8916,6.30219,10.0348,11.3477
19.8580,1,40.8484,60.8915,6.30206,10.0345,11.3470
19.8570,1,40.8472,60.8913,6.30192,10.0341,11.3462
19.8560,1,40.8460,60.8911,6.30178,10.0338,11.3455
19.8550,1,40.8449,60.8909,6.30164,10.0334,11.3447
19.8540,1,40.8437,60.8907,6.30151,10.0331,11.3440
19.8530,1,40.8425,60.8906,6.30137,10.0327,11.3432
19.8520,1,40.8414,60.8904,6.30123,10.0323,11.3425
19.8510,1,40.8402,60.8902,6.30109,10.0320,11.3417
19.8500,1,40.8382,60.8901,6.30481,10.0385,11.3478
19.8490,1,40.8370,60.8899,6.30467,10.0382,11.3470
19.8480,1,40.8359,60.8897,6.30453,10.0378,11.3463
19.8470,1,40.8347,60.8895,6.30439,10.0375,11.3455
19.8460,1,40.8335,60.8894,6.30426,10.0371,11.3448
19.8450,1,40.8323,60.8892,6.30412,10.0368,11.3440
19.8440,1,40.8312,60.8890,6.30398,10.0364,11.3433
19.8430,1,40.8300,60.8888,6.30384,10.0360,11.3425
19.8420,1,40.8288,60.8886,6.30371,10.0357,11.3418
19.8410,1,40.8277,60.8885,6.30357,10.0353,11.3410
19.8400,1,40.8265,60.8883,6.30343,10.0350,11.3402
19.8390,1,40.8253,60.8881,6.30329,10.0346,11.3395
19.8380,1,40.8241,60.8879,6.30316,10.0343,11.3387
19.8370,1,40.8230,60.8878,6.30302,10.0339,11.3380
19.8360,1,40.8218,60.8876,6.30288,10.0335,11.3372
19.8350,1,40.8198,60.8874,6.30659,10.0401,11.3433
19.8340,1,40.8186,60.8873,6.30646,10.0397,11.3426
19.8330,1,40.8175,60.8871,6.30632,10.0394,11.3418
19.8320,1,40.8163,60.8869,6.30618,10.0390,11.3410
19.8310,1,40.8151,60.8867,6.30604,10.0387,11.3403
19.8300,1,40.8140,60.8865,6.30591,10.0383,11.3395
19.8290,1,40.8128,60.8864,6.30577,10.0379,11.3388
19.8280,1,40.8116,60.8862,6.30563,10.0376,11.3380
19.8270,1,40.8104,60.8860,6.30549,10.0372,11.3373
19.8260,1,40.8093,60.8858,6.30536,10.0369,11.3365
19.8250,1,40.8081,60.8856,6.30522,10.0365,11.3358
19.8240,1,40.8069,60.8855,6.30508,10.0362,11.3350
19.8230,1,40.8058,60.8853,6.30494,10.0358,11.3343
19.8220,1,40.8046,60.8851,6.30481,10.0354,11.3335
19.8210,1,40.8034,60.8849,6.30467,10.0351,11.3327
19.8200,1,40.8014,60.8848,6.30838,10.0416,11.3388
19.8190,1,40.8002,60.8846,6.30824,10.0413,11.3381
19.8180,1,40.7991,60.8844,6.30810,10.0409,11.3373
19.8170,1,40.7979,60.8842,6.30797,10.0405,11.3365
19.8160,1,40.7967,60.8841,6.30783,10.0402,11.3358
19.8150,1,40.7956,60.8839,6.30769,10.0398,11.3350
19.8140,1,40.7944,60.8837,6.30755,10.0395,11.3343
19.8130,1,40.7932,60.8835,6.30742,10.0391,11.3335
19.8120,1,40.7920,60.8833,6.30728,10.0388,11.3328
19.8110,1,40.7909,60.8832,6.30714,10.0384,11.3320
19.8100,1,40.7897,60.8830,6.30700,10.0380,11.3313
19.8090,1,40.7885,60.8828,6.30687,10.0377,11.3305
19.8080,1,40.7873,60.8826,6.30673,10.0373,11.3298
19.8070,1,40.7862,60.8824,6.30659,10.0370,11.3290
19.8060,1,40.7850,60.8822,6.30646,10.0366,11.3282
19.8050,1,40.7830,60.8821,6.31016,10.0431,11.3343
19.8040,1,40.7818,60.8819,6.31002,10.0428,11.3335
19.8030,1,40.7807,60.8817,6.30989,10.0424,11.3328
19.8020,1,40.7795,60.8816,6.30975,10.0421,11.3320
19.8010,1,40.7783,60.8814,6.30961,10.0417,11.3313
19.8000,1,40.7771,60.8812,6.30948,10.0414,11.3305
19.7990,1,40.7760,60.8810,6.30934,10.0410,11.3298
19.7980,1,40.7748,60.8808,6.30920,10.0406,11.3290
19.7970,1,40.7736,60.8806,6.30906,10.0403,11.3283
19.7960,1,40.7725,60.8805,6.30893,10.0399,11.3275
19.7950,1,40.7713,60.8803,6.30879,10.0396,11.3268
19.7940,1,40.7701,60.8801,6.30865,10.0392,11.3260
19.7930,1,40.7689,60.8799,6.30851,10.0388,11.3252
19.7920,1,40.7678,60.8797,6.30838,10.0385,11.3245
19.7910,1,40.7666,60.8796,6.30824,10.0381,11.3237
19.7900,1,40.7646,60.8794,6.31194,10.0447,11.3298
19.7890,1,40.7634,60.8792,6.31181,10.0443,11.3290
19.7880,1,40.7622,60.8790,6.31167,10.0439,11.3283
19.7870,1,40.7611,60.8789,6.31153,10.0436,11.3275
19.7860,1,40.7599,60.8787,6.31139,10.0432,11.3268
19.7850,1,40.7587,60.8785,6.31126,10.0429,11.3260
19.7840,1,40.7575,60.8783,6.31112,10.0425,11.3252
19.7830,1,40.7564,60.8781,6.31098,10.0421,11.3245
19.7820,1,40.7552,60.8779,6.31085,10.0418,11.3237
19.7810,1,40.7540,60.8778,6.31071,10.0414,11.3230
19.7800,1,40.7529,60.8776,6.31057,10.0411,11.3222
19.7790,1,40.7517,60.8774,6.31043,10.0407,11.3215
19.7780,1,40.7505,60.8772,6.31030,10.0403,11.3207
19.7770,1,40.7493,60.8770,6.31016,10.0400,11.3200
19.7760,1,40.7482,60.8768,6.31002,10.0396,11.3192
19.7750,1,40.7462,60.8767,6.31373,10.0462,11.3252
19.7740,1,40.7450,60.8765,6.31359,10.0458,11.3245
19.7730,1,40.7438,60.8763,6.31345,10.0454,11.3237
19.7720,1,40.7426,60.8761,6.31331,10.0451,11.3230
19.7710,1,40.7415,60.8759,6.31318,10.0447,11.3222
19.7700,1,40.7403,60.8758,6.31304,10.0444,11.3215
19.7690,1,40.7391,60.8756,6.31290,10.0440,11.3207
19.7680,1,40.7379,60.8754,6.31276,10.0436,11.3200
19.7670,1,40.7368,60.8752,6.31263,10.0433,11.3192
19.7660,1,40.7356,60.8750,6.31249,10.0429,11.3184
19.7650,1,40.7344,60.8748,6.31235,10.0426,11.3177
19.7640,1,40.7332,60.8747,6.31221,10.0422,11.3169
19.7630,1,40.7321,60.8745,6.31208,10.0418,11.3162
19.7620,1,40.7309,60.8743,6.31194,10.0415,11.3154
19.7610,1,40.7297,60.8741,6.31180,10.0411,11.3147
19.7600,1,40.7277,60.8740,6.31550,10.0476,11.3207
19.7590,1,40.7265,60.8738,6.31537,10.0473,11.3199
19.7580,1,40.7254,60.8736,6.31523,10.0469,11.3192
19.7570,1,40.7242,60.8734,6.31509,10.0466,11.3184
