X,Y,Z
7106.78,1472.09,3592.75
7119.75,1478.02,3580.18
7132.78,1483.90,3567.53
7145.86,1489.73,3554.78
7159.00,1495.52,3541.94
7172.19,1501.27,3529.00
7185.44,1506.97,3515.98
7198.74,1512.63,3502.87
7212.11,1518.25,3489.67
7225.53,1523.83,3476.38
7239.01,1529.37,3463.00
7252.55,1534.87,3449.53
7266.15,1540.33,3435.97
7279.81,1545.75,3422.32
7293.54,1551.14,3408.58
7307.32,1556.50,3394.75
7321.17,1561.82,3380.84
7335.09,1567.11,3366.83
7349.07,1572.37,3352.74
7363.11,1577.59,3338.56
7377.22,1582.79,3324.29
7391.40,1587.97,3309.93
7405.65,1593.11,3295.48
7419.97,1598.24,3280.95
7434.35,1603.34,3266.32
7448.81,1608.41,3251.60
7463.33,1613.47,3236.80
7477.93,1618.51,3221.90
7492.60,1623.54,3206.92
7507.35,1628.55,3191.84
7522.17,1633.55,3176.68
7537.06,1638.54,3161.42
7552.03,1643.51,3146.07
7567.07,1648.48,3130.63
7582.20,1653.45,3115.10
7597.40,1658.41,3099.48
7612.68,1663.37,3083.76
7628.03,1668.34,3067.94
7643.47,1673.30,3052.04
7658.99,1678.27,3036.04
7674.59,1683.25,3019.94
7690.27,1688.24,3003.74
7706.04,1693.24,2987.45
7721.88,1698.26,2971.06
7737.81,1703.29,2954.57
7753.83,1708.34,2937.99
7769.93,1713.42,2921.30
7786.12,1718.52,2904.51
7802.39,1723.65,2887.62
7818.75,1728.81,2870.62
7835.20,1734.00,2853.52
7851.73,1739.23,2836.32
7868.35,1744.50,2819.01
7885.07,1749.81,2801.59
7901.87,1755.16,2784.06
7918.76,1760.56,2766.42
7935.73,1766.02,2748.67
7952.80,1771.53,2730.81
7969.96,1777.09,2712.83
7987.21,1782.72,2694.74
8004.56,1788.41,2676.53
8021.99,1794.17,2658.20
8039.51,1800.00,2639.75
8057.13,1805.91,2621.18
8074.83,1811.89,2602.49
8092.63,1817.96,2583.68
8110.52,1824.11,2564.73
8128.50,1830.35,2545.66
8146.57,1836.69,2526.46
8164.73,1843.12,2507.13
8182.98,1849.66,2487.67
8201.33,1856.30,2468.07
8219.76,1863.05,2448.33
8238.28,1869.91,2428.46
8256.89,1876.89,2408.45
8275.59,1884.00,2388.29
8294.38,1891.23,2367.99
8313.25,1898.59,2347.54
8332.21,1906.09,2326.95
8351.26,1913.73,2306.20
8370.39,1921.51,2285.30
8389.60,1929.45,2264.25
8408.90,1937.53,2243.04
8428.28,1945.78,2221.67
8447.73,1954.19,2200.14
8467.27,1962.77,2178.45
8486.88,1971.53,2156.60
8506.57,1980.46,2134.57
8526.33,1989.58,2112.38
8546.16,1998.89,2090.01
8566.07,2008.39,2067.48
8586.04,2018.09,2044.76
8606.08,2028.00,2021.87
8626.18,2038.12,1998.80
8646.34,2048.46,1975.54
8666.56,2059.02,1952.10
8686.84,2069.80,1928.47
8707.17,2080.82,1904.66
8727.55,2092.08,1880.65
8747.98,2103.58,1856.45
8768.46,2115.33,1832.05
8788.97,2127.34,1807.46
8809.53,2139.61,1782.67
8830.11,2152.15,1757.67
8850.73,2164.97,1732.47
8871.38,2178.06,1707.07
8892.04,2191.44,1681.46
