Rigidity(GV),Filter,Latitude,Longitude,X,Y,Z
7.05600,1,17.9659,176.667,-9.00786,5.27322,2.67642
7.05500,1,17.9699,176.724,-9.01679,5.26574,2.68086
7.05400,1,17.9749,176.774,-9.01618,5.25771,2.68220
7.05300,1,17.9789,176.831,-9.02509,5.25019,2.68663
7.05200,1,17.9839,176.882,-9.02448,5.24213,2.68796
7.05100,1,17.9878,176.939,-9.03338,5.23457,2.69239
7.05000,1,17.9927,176.989,-9.03276,5.22649,2.69372
7.04900,1,17.9966,177.047,-9.04165,5.21889,2.69814
7.04800,1,18.0014,177.097,-9.04101,5.21078,2.69946
7.04700,1,18.0052,177.155,-9.04989,5.20314,2.70388
7.04600,1,18.0100,177.206,-9.04925,5.19501,2.70520
7.04500,1,18.0138,177.263,-9.05812,5.18732,2.70961
7.04400,1,18.0185,177.314,-9.05747,5.17917,2.71093
7.04300,1,18.0222,177.372,-9.06633,5.17144,2.71534
7.04200,1,18.0269,177.423,-9.06567,5.16326,2.71664
7.04100,1,18.0305,177.481,-9.07452,5.15549,2.72105
7.04000,1,18.0351,177.532,-9.07385,5.14728,2.72235
7.03900,1,18.0387,177.590,-9.08268,5.13947,2.72675
7.03800,1,18.0433,177.642,-9.08200,5.13124,2.72805
7.03700,1,18.0467,177.700,-9.09083,5.12338,2.73244
7.03600,1,18.0513,177.752,-9.09014,5.11513,2.73374
7.03500,1,18.0547,177.810,-9.09895,5.10723,2.73813
7.03400,1,18.0580,177.869,-9.10776,5.09930,2.74251
7.03300,1,18.0625,177.920,-9.10705,5.09100,2.74380
7.03200,1,18.0658,177.979,-9.11585,5.08303,2.74818
7.03100,1,18.0702,178.031,-9.11514,5.07471,2.74946
7.03000,1,18.0734,178.090,-9.12392,5.06670,2.75384
7.02900,1,18.0777,178.142,-9.12320,5.05835,2.75511
7.02800,1,18.0809,178.201,-9.13197,5.05029,2.75948
7.02700,1,18.0852,178.253,-9.13124,5.04192,2.76075
7.02600,1,18.0883,178.312,-9.14000,5.03382,2.76512
7.02500,1,18.0925,178.365,-9.13925,5.02542,2.76638
7.02400,1,18.0955,178.424,-9.14800,5.01727,2.77074
7.02300,1,18.0996,178.477,-9.14725,5.00885,2.77200
7.02200,1,18.1026,178.536,-9.15598,5.00066,2.77635
7.02100,1,18.1067,178.589,-9.15522,4.99221,2.77760
7.02000,1,18.1096,178.648,-9.16394,4.98398,2.78195
7.01900,1,18.1136,178.701,-9.16317,4.97550,2.78320
7.01800,1,18.1164,178.761,-9.17188,4.96722,2.78754
7.01700,1,18.1204,178.814,-9.17110,4.95872,2.78878
7.01600,1,18.1231,178.874,-9.17979,4.95040,2.79312
7.01500,1,18.1259,178.934,-9.18848,4.94205,2.79746
7.01400,1,18.1297,178.987,-9.18769,4.93350,2.79869
7.01300,1,18.1324,179.048,-9.19636,4.92511,2.80302
7.01200,1,18.1361,179.101,-9.19556,4.91653,2.80424
7.01100,1,18.1387,179.161,-9.20422,4.90809,2.80857
7.01000,1,18.1424,179.215,-9.20340,4.89949,2.80978
7.00900,1,18.1450,179.276,-9.21205,4.89101,2.81410
7.00800,1,18.1486,179.329,-9.21122,4.88238,2.81531
7.00700,1,18.1511,179.390,-9.21986,4.87385,2.81963
7.00600,1,18.1546,179.444,-9.21902,4.86520,2.82083
7.00500,1,18.1570,179.505,-9.22764,4.85662,2.82514
7.00400,1,18.1593,179.566,-9.23626,4.84802,2.82944
7.00300,1,18.1628,179.620,-9.23540,4.83932,2.83064
7.00200,1,18.1651,179.681,-9.24400,4.83067,2.83493
7.00100,1,18.1685,179.736,-9.24314,4.82195,2.83612
7.00000,1,18.1707,179.797,-9.25172,4.81325,2.84041
6.99900,1,18.1740,179.851,-9.25085,4.80450,2.84159
6.99800,1,18.1761,179.913,-9.25942,4.79576,2.84588
6.99700,1,18.1793,179.968,-9.25853,4.78698,2.84705
6.99600,1,18.1814,180.029,-9.26709,4.77819,2.85133
6.99500,1,18.1846,180.084,-9.26619,4.76939,2.85250
6.99400,1,18.1865,180.146,-9.27474,4.76055,2.85677
6.99300,1,18.1885,180.208,-9.28327,4.75168,2.86103
6.99200,1,18.1915,180.263,-9.28236,4.74284,2.86219
6.99100,1,18.1934,180.325,-9.29088,4.73392,2.86645
6.99000,1,18.1964,180.380,-9.28995,4.72505,2.86760
6.98900,1,18.1981,180.443,-9.29846,4.71609,2.87186
6.98800,1,18.2011,180.498,-9.29752,4.70718,2.87300
6.98700,1,18.2028,180.560,-9.30601,4.69818,2.87725
6.98600,1,18.2044,180.623,-9.31450,4.68914,2.88149
6.98500,1,18.2072,180.679,-9.31354,4.68019,2.88262
6.98400,1,18.2088,180.741,-9.32201,4.67111,2.88686
6.98300,1,18.2115,180.797,-9.32104,4.66213,2.88798
6.98200,1,18.2130,180.860,-9.32950,4.65300,2.89221
6.98100,1,18.2156,180.916,-9.32852,4.64399,2.89333
6.98000,1,18.2171,180.979,-9.33696,4.63481,2.89755
6.97900,1,18.2196,181.036,-9.33596,4.62577,2.89866
6.97800,1,18.2210,181.099,-9.34439,4.61655,2.90287
6.97700,1,18.2223,181.162,-9.35281,4.60729,2.90708
6.97600,1,18.2248,181.219,-9.35607,4.59852,2.90980
6.97500,1,18.2272,181.275,-9.35506,4.58942,2.91089
6.97400,1,18.2283,181.340,-9.36439,4.58008,2.91540
6.97300,1,18.2306,181.397,-9.36336,4.57095,2.91649
6.97200,1,18.2316,181.461,-9.37268,4.56155,2.92099
6.97100,1,18.2338,181.518,-9.37163,4.55239,2.92207
6.97000,1,18.2347,181.582,-9.38094,4.54294,2.92656
6.96900,1,18.2369,181.640,-9.37988,4.53375,2.92764
6.96800,1,18.2377,181.704,-9.38917,4.52425,2.93212
6.96700,1,18.2384,181.769,-9.39844,4.51472,2.93660
6.96600,1,18.2405,181.827,-9.39737,4.50548,2.93766
6.96500,1,18.2411,181.892,-9.40663,4.49589,2.94213
6.96400,1,18.2431,181.950,-9.40554,4.48662,2.94318
6.96300,1,18.2437,182.015,-9.41478,4.47698,2.94764
6.96200,1,18.2455,182.073,-9.41368,4.46769,2.94869
6.96100,1,18.2460,182.138,-9.42290,4.45799,2.95314
6.96000,1,18.2478,182.196,-9.42178,4.44867,2.95418
6.95900,1,18.2482,182.262,-9.43099,4.43892,2.95862
6.95800,1,18.2499,182.320,-9.42986,4.42956,2.95965
6.95700,1,18.2502,182.386,-9.43905,4.41976,2.96409
6.95600,1,18.2518,182.444,-9.43791,4.41037,2.96511
6.95500,1,18.2521,182.510,-9.44708,4.40052,2.96954
6.95400,1,18.2536,182.569,-9.44593,4.39110,2.97055
6.95300,1,18.2537,182.635,-9.45508,4.38119,2.97496
6.95200,1,18.2538,182.701,-9.46423,4.37126,2.97937
6.95100,1,18.2552,182.760,-9.46305,4.36178,2.98038
6.95000,1,18.2552,182.826,-9.47217,4.35179,2.98478
6.94900,1,18.2565,182.886,-9.47098,4.34229,2.98577
6.94800,1,18.2564,182.952,-9.48009,4.33224,2.99016
6.94700,1,18.2575,183.012,-9.47888,4.32271,2.99114
6.94600,1,18.2574,183.078,-9.48797,4.31261,2.99552
6.94500,1,18.2585,183.138,-9.48675,4.30304,2.99650
6.94400,1,18.2582,183.205,-9.49582,4.29288,3.00087
6.94300,1,18.2578,183.272,-9.50489,4.28270,3.00524
6.94200,1,18.2588,183.332,-9.50364,4.27308,3.00620
6.94100,1,18.2583,183.399,-9.51268,4.26283,3.01055
6.94000,1,18.2592,183.459,-9.51142,4.25318,3.01150
6.93900,1,18.2587,183.527,-9.52045,4.24288,3.01585
6.93800,1,18.2594,183.587,-9.51917,4.23320,3.01679
6.93700,1,18.2588,183.655,-9.52818,4.22285,3.02113
6.93600,1,18.2595,183.715,-9.52689,4.21313,3.02206
6.93500,1,18.2587,183.783,-9.53587,4.20272,3.02638
6.93400,1,18.2580,183.851,-9.54485,4.19228,3.03070
6.93300,1,18.2585,183.912,-9.54353,4.18251,3.03162
6.93200,1,18.2576,183.980,-9.55249,4.17201,3.03593
6.93100,1,18.2580,184.041,-9.55116,4.16221,3.03684
6.93000,1,18.2570,184.109,-9.56009,4.15165,3.04113
6.92900,1,18.2573,184.170,-9.55875,4.14181,3.04203
6.92800,1,18.2562,184.239,-9.56766,4.13121,3.04632
6.92700,1,18.2551,184.307,-9.57657,4.12056,3.05060
6.92600,1,18.2553,184.369,-9.57520,4.11067,3.05148
6.92500,1,18.2540,184.438,-9.58408,4.09997,3.05575
6.92400,1,18.2541,184.500,-9.58269,4.09004,3.05662
6.92300,1,18.2527,184.568,-9.59156,4.07929,3.06088
6.92200,1,18.2527,184.631,-9.59016,4.06933,3.06174
6.92100,1,18.2512,184.700,-9.59900,4.05851,3.06599
6.92000,1,18.2497,184.769,-9.60782,4.04767,3.07023
6.91900,1,18.2495,184.831,-9.60640,4.03765,3.07107
6.91800,1,18.2479,184.901,-9.61521,4.02675,3.07530
6.91700,1,18.2476,184.963,-9.61376,4.01670,3.07614
6.91600,1,18.2458,185.033,-9.62255,4.00573,3.08035
6.91500,1,18.2454,185.096,-9.62109,3.99565,3.08118
6.91400,1,18.2436,185.166,-9.62986,3.98463,3.08538
6.91300,1,18.2417,185.236,-9.63861,3.97357,3.08958
6.91200,1,18.2411,185.299,-9.63712,3.96343,3.09039
6.91100,1,18.2391,185.369,-9.64585,3.95232,3.09457
6.91000,1,18.2384,185.432,-9.64435,3.94214,3.09537
6.90900,1,18.2362,185.503,-9.65306,3.93097,3.09954
6.90800,1,18.2341,185.573,-9.66175,3.91976,3.10370
6.90700,1,18.2332,185.637,-9.66023,3.90953,3.10448
6.90600,1,18.2309,185.708,-9.66890,3.89827,3.10864
6.90500,1,18.2299,185.772,-9.66735,3.88800,3.10940
6.90400,1,18.2275,185.842,-9.67600,3.87667,3.11354
6.90300,1,18.2250,185.914,-9.68464,3.86531,3.11768
6.90200,1,18.2239,185.978,-9.68307,3.85499,3.11842
6.90100,1,18.2213,186.049,-9.69168,3.84357,3.12254
6.90000,1,18.2200,186.114,-9.69009,3.83320,3.12328
6.89900,1,18.2173,186.185,-9.69868,3.82173,3.12739
6.89800,1,18.2145,186.257,-9.70726,3.81021,3.13148
